project_id,civil_cost_cr,equipment_cost_cr,material_cost_cr,electromechanical_cost_cr,hydromechanical_cost_cr,infrastructure_cost_cr,land_rehabilitation_cost_cr,contingency_cost_cr,total_project_cost_cr,cost_year,base_year,normalized_cost_cr,synthetic_flag
HP-001,4392.93,2615.01,1924.16,1830.51,784.5,388.39,310.71,233.03,7767.79,2002,2022,20610.26,True
HP-002,9457.36,4642.56,4143.86,3249.79,1392.77,905.5,724.4,543.3,18110.05,2017,2022,23113.52,True
HP-003,4975.02,3035.05,2175.79,2124.53,910.51,478.46,382.77,287.08,9569.21,2008,2022,18946.38,True
HP-004,7874.78,4391.66,3161.53,3074.16,1317.5,722.17,577.74,433.3,14443.45,2001,2022,40238.91,True
HP-005,5115.11,3263.02,2279.92,2284.11,978.91,518.68,414.94,311.21,10373.62,2008,2022,20539.06,True
HP-006,5672.23,3936.16,2781.62,2755.31,1180.85,581.74,465.39,349.04,11634.76,2007,2022,24187.83,True
HP-007,4581.24,2298.19,1845.14,1608.73,689.46,405.88,324.7,243.52,8117.5,2003,2022,20512.52,True
HP-008,5693.83,3449.49,2568.59,2414.64,1034.85,543.12,434.5,325.87,10862.38,2003,2022,27448.69,True
HP-009,8404.12,4260.06,4085.66,2982.04,1278.02,801.02,640.81,480.61,16020.32,2021,2022,16821.34,True
HP-010,5452.7,2541.16,2395.93,1778.81,762.35,502.81,402.25,301.68,10056.15,2017,2022,12834.48,True
HP-011,3750.85,2378.06,1613.46,1664.64,713.42,371.9,297.52,223.14,7437.96,2008,2022,14726.65,True
HP-012,4930.29,2522.9,2206.84,1766.03,756.87,460.33,368.26,276.2,9206.59,2013,2022,14282.44,True
HP-013,3927.77,2613.38,1615.92,1829.37,784.01,388.7,310.96,233.22,7773.94,2013,2022,12059.93,True
HP-014,11209.62,6532.51,4563.9,4572.76,1959.75,981.85,785.48,589.11,19637.02,2019,2022,22732.31,True
HP-015,4331.09,2242.46,2067.03,1569.72,672.74,428.62,342.89,257.17,8572.34,2017,2022,10940.72,True
HP-016,3511.47,1738.59,1509.42,1217.01,521.58,312.38,249.9,187.43,6247.55,2006,2022,13637.62,True
HP-017,5242.42,3059.91,2220.04,2141.94,917.97,490.77,392.62,294.46,9815.4,2022,2022,9815.4,True
HP-018,7466.05,5156.06,3281.93,3609.24,1546.82,774.17,619.34,464.5,15483.49,2001,2022,43136.42,True
HP-019,11243.99,5056.0,5100.92,3539.2,1516.8,1005.6,804.48,603.36,20112.02,2019,2022,23282.18,True
HP-020,1590.22,950.85,767.15,665.6,285.25,137.84,110.27,82.71,2756.87,2019,2022,3191.42,True
HP-021,7696.19,4714.08,3455.8,3299.86,1414.22,739.79,591.83,443.87,14795.77,2006,2022,32297.31,True
HP-022,4824.78,2153.69,2068.69,1507.58,646.11,422.05,337.64,253.23,8441.07,2019,2022,9771.59,True
HP-023,4285.85,2385.54,1831.42,1669.88,715.66,405.42,324.34,243.25,8108.45,2007,2022,16856.89,True
HP-024,3513.76,2257.7,1591.95,1580.39,677.31,360.28,288.23,216.17,7205.68,2009,2022,13587.38,True
HP-025,2432.23,1533.76,1176.56,1073.63,460.13,231.62,185.29,138.97,4632.35,2005,2022,10617.43,True
HP-026,5675.2,3902.16,2546.05,2731.51,1170.65,565.91,452.73,339.55,11318.27,2012,2022,18436.27,True
HP-027,12625.25,6292.73,6193.07,4404.91,1887.82,1134.73,907.78,680.84,22694.57,2005,2022,52016.37,True
HP-028,5071.31,2934.36,2365.45,2054.05,880.31,503.05,402.44,301.83,10060.99,2011,2022,17207.71,True
HP-029,1056.37,696.85,458.36,487.79,209.06,100.8,80.64,60.48,2016.07,2002,2022,5349.23,True
HP-030,1564.48,789.37,643.54,552.56,236.81,143.54,114.83,86.12,2870.83,2002,2022,7617.17,True
HP-031,10235.89,5572.16,4554.94,3900.51,1671.65,886.63,709.3,531.98,17732.53,2006,2022,38707.89,True
HP-032,7133.92,4329.9,2966.34,3030.93,1298.97,678.96,543.17,407.38,13579.25,2005,2022,31123.89,True
HP-033,11201.46,5620.58,5100.27,3934.41,1686.17,1042.91,834.33,625.75,20858.24,2007,2022,43362.78,True
HP-034,10835.98,6657.13,4902.45,4659.99,1997.14,1116.8,893.44,670.08,22335.99,2004,2022,53754.22,True
HP-035,11760.55,7590.37,5150.76,5313.26,2277.11,1194.72,955.78,716.83,23894.46,2004,2022,57504.87,True
HP-036,12752.89,5641.11,6167.56,3948.78,1692.33,1112.06,889.65,667.23,22241.13,2015,2022,31295.5,True
HP-037,5306.99,3019.31,2389.48,2113.52,905.79,519.6,415.68,311.76,10392.0,2017,2022,13263.12,True
HP-038,3782.39,1790.02,1643.27,1253.01,537.01,351.63,281.31,210.98,7032.68,2011,2022,12028.27,True
HP-039,5752.77,2901.32,2553.63,2030.92,870.4,570.18,456.14,342.11,11403.51,2011,2022,19503.87,True
HP-040,4184.4,2481.53,1926.9,1737.07,744.46,431.25,345.0,258.75,8624.9,2021,2022,9056.15,True
HP-041,11155.93,7327.08,5540.6,5128.96,2198.12,1102.95,882.36,661.77,22058.94,2003,2022,55741.84,True
HP-042,6624.32,3118.52,3102.86,2182.96,935.56,572.02,457.62,343.21,11440.5,2021,2022,12012.52,True
HP-043,5297.19,3524.04,2302.08,2466.83,1057.21,542.92,434.34,325.75,10858.39,2002,2022,28810.54,True
HP-044,878.77,427.66,375.14,299.36,128.3,80.1,64.08,48.06,1602.04,2013,2022,2485.29,True
HP-045,10046.98,6300.58,4841.61,4410.41,1890.17,986.68,789.34,592.01,19733.51,2019,2022,22844.0,True
HP-046,6635.73,3945.24,3292.47,2761.67,1183.57,676.49,541.19,405.89,13529.74,2015,2022,19037.7,True
HP-047,5571.78,3282.91,2561.33,2298.04,984.87,522.91,418.32,313.74,10458.11,2014,2022,15451.39,True
HP-048,8863.09,4764.02,3997.97,3334.81,1429.21,795.25,636.2,477.15,15904.92,2003,2022,40190.94,True
