project_id,equipment_type,quantity,capacity_per_unit,unit_of_measure,technology
HP-001,Turbine,8,70.6713,MW,Francis
HP-001,Generator,8,70.6713,MW,Synchronous Hydro Generator
HP-001,Main Transformer,9,91.46,MVA,Step-up Power Transformer
HP-001,EOT Crane,2,251.9,Tonne,Overhead EOT Crane
HP-002,Turbine,4,358.3725,MW,Francis
HP-002,Generator,4,358.3725,MW,Synchronous Hydro Generator
HP-002,Main Transformer,5,463.78,MVA,Step-up Power Transformer
HP-002,EOT Crane,2,163.4,Tonne,Overhead EOT Crane
HP-003,Turbine,8,93.3,MW,Pelton
HP-003,Generator,8,93.3,MW,Synchronous Hydro Generator
HP-003,Main Transformer,9,120.74,MVA,Step-up Power Transformer
HP-003,EOT Crane,2,140.9,Tonne,Overhead EOT Crane
HP-004,Turbine,8,144.0625,MW,Francis
HP-004,Generator,8,144.0625,MW,Synchronous Hydro Generator
HP-004,Main Transformer,9,186.43,MVA,Step-up Power Transformer
HP-005,Turbine,6,169.105,MW,Francis
HP-005,Generator,6,169.105,MW,Synchronous Hydro Generator
HP-005,Main Transformer,7,218.84,MVA,Step-up Power Transformer
HP-005,EOT Crane,2,281.4,Tonne,Overhead EOT Crane
HP-006,Turbine,4,280.3875,MW,Francis
HP-006,Generator,4,280.3875,MW,Synchronous Hydro Generator
HP-006,Main Transformer,5,362.85,MVA,Step-up Power Transformer
HP-006,EOT Crane,2,252.0,Tonne,Overhead EOT Crane
HP-007,Turbine,8,85.72,MW,Pelton
HP-007,Generator,8,85.72,MW,Synchronous Hydro Generator
HP-007,Main Transformer,9,110.93,MVA,Step-up Power Transformer
HP-007,EOT Crane,2,85.8,Tonne,Overhead EOT Crane
HP-008,Turbine,8,115.7163,MW,Pelton
HP-008,Generator,8,115.7163,MW,Synchronous Hydro Generator
HP-008,Main Transformer,9,149.75,MVA,Step-up Power Transformer
HP-008,EOT Crane,2,288.4,Tonne,Overhead EOT Crane
HP-009,Turbine,4,340.34,MW,Francis
HP-009,Generator,4,340.34,MW,Synchronous Hydro Generator
HP-009,Main Transformer,5,440.44,MVA,Step-up Power Transformer
HP-009,EOT Crane,2,228.0,Tonne,Overhead EOT Crane
HP-010,Turbine,6,155.9683,MW,Francis
HP-010,Generator,6,155.9683,MW,Synchronous Hydro Generator
HP-010,Main Transformer,7,201.84,MVA,Step-up Power Transformer
HP-010,EOT Crane,2,17.9,Tonne,Overhead EOT Crane
HP-011,Turbine,6,99.0617,MW,Francis
