project_id,year,generation_gwh,capacity_factor,availability_factor,annual_inflow_mcm,synthetic_flag
HP-001,2003,2961.77,0.601,0.867,7328.8,True
HP-002,2018,6514.06,0.52,0.941,23560.52,True
HP-003,2009,2709.52,0.41,0.919,4176.99,True
HP-004,2002,4102.51,0.406,0.877,47076.02,True
HP-005,2009,4544.42,0.517,0.912,12741.14,True
HP-006,2008,3928.39,0.402,0.898,18124.96,True
HP-007,2004,3443.14,0.577,0.938,6177.29,True
HP-008,2004,3789.64,0.471,0.927,6391.34,True
HP-009,2022,4916.98,0.412,0.902,17864.93,True
HP-010,2018,4274.81,0.525,0.88,25789.46,True
HP-011,2009,2185.72,0.419,0.888,11880.81,True
HP-012,2014,3956.13,0.497,0.892,35586.66,True
HP-013,2014,2372.45,0.393,0.886,5379.67,True
HP-014,2020,7928.38,0.549,0.901,14850.39,True
HP-015,2018,4108.48,0.478,0.889,8930.04,True
HP-016,2007,2068.14,0.512,0.895,4805.75,True
HP-017,2023,2838.9,0.444,0.916,7631.41,True
HP-018,2002,7685.62,0.611,0.922,11431.13,True
HP-019,2020,6426.71,0.461,0.87,13883.1,True
HP-020,2020,1461.41,0.546,0.88,1667.23,True
HP-021,2007,5733.1,0.406,0.905,40558.67,True
HP-022,2020,3021.71,0.559,0.894,12867.94,True
HP-023,2008,3165.0,0.469,0.925,6504.31,True
HP-024,2010,3276.47,0.546,0.893,3437.72,True
HP-025,2006,1581.34,0.472,0.912,4238.47,True
HP-026,2013,5563.02,0.575,0.92,8251.9,True
HP-027,2006,8829.27,0.576,0.932,10126.55,True
HP-028,2012,4402.04,0.571,0.901,41530.13,True
HP-029,2003,793.89,0.494,0.863,3104.96,True
HP-030,2003,1026.77,0.468,0.894,1273.91,True
HP-031,2007,7235.9,0.573,0.91,53959.28,True
HP-032,2006,3996.37,0.431,0.911,4522.48,True
HP-033,2008,10122.04,0.592,0.919,52932.52,True
HP-034,2005,8289.12,0.48,0.888,16935.67,True
HP-035,2005,7194.46,0.434,0.948,9801.09,True
HP-036,2016,7564.24,0.448,0.865,42086.33,True
HP-037,2018,4603.85,0.443,0.881,9009.46,True
HP-038,2012,2613.96,0.574,0.901,4550.62,True
HP-039,2012,2988.73,0.388,0.919,7075.27,True
HP-040,2022,2964.49,0.479,0.897,15908.31,True
HP-041,2004,6811.9,0.443,0.944,10136.12,True
HP-042,2022,3624.81,0.406,0.869,6860.85,True
HP-043,2003,4320.55,0.603,0.887,7175.65,True
HP-044,2014,722.75,0.523,0.931,868.4,True
HP-045,2020,6600.08,0.474,0.87,42695.38,True
HP-046,2016,5966.55,0.503,0.907,14592.9,True
HP-047,2015,3654.1,0.429,0.928,8320.19,True
HP-048,2004,5837.52,0.55,0.9,15618.4,True
HP-049,2010,5052.81,0.503,0.941,9813.95,True
HP-050,2009,4008.2,0.568,0.901,5257.54,True
HP-051,2023,4306.17,0.382,0.919,109318.75,True
HP-052,2001,4153.85,0.384,0.866,8852.44,True
HP-053,2014,5108.44,0.483,0.907,4750.47,True
HP-054,2018,727.41,0.438,0.893,918.81,True
HP-055,2023,2402.01,0.565,0.87,22674.11,True
HP-056,2006,9858.12,0.574,0.871,13724.68,True
HP-057,2005,4766.36,0.614,0.869,26190.13,True
HP-058,2018,7462.7,0.452,0.872,38825.54,True
HP-059,2008,3449.41,0.471,0.909,6155.34,True
HP-060,2006,6878.21,0.4,0.936,13763.73,True
HP-061,2013,4117.31,0.619,0.916,5937.51,True
HP-062,2018,4850.9,0.452,0.927,6800.44,True
HP-063,2012,2077.82,0.503,0.938,7857.71,True
HP-064,2022,5377.96,0.557,0.912,8582.5,True
HP-065,2011,1082.15,0.46,0.949,6000.91,True
HP-066,2008,8672.33,0.556,0.913,17088.07,True
HP-067,2022,2471.24,0.58,0.92,6206.58,True
HP-068,2011,1450.7,0.587,0.939,1270.5,True
HP-069,2013,4514.85,0.384,0.896,10304.93,True
HP-070,2001,4121.2,0.594,0.901,13742.77,True
HP-071,2013,8091.22,0.515,0.912,8559.15,True
HP-072,2004,6625.63,0.535,0.928,10675.76,True
HP-073,2002,6931.03,0.541,0.9,10715.81,True
HP-074,2006,7151.06,0.456,0.895,22454.92,True
HP-075,2010,4171.3,0.424,0.932,39331.29,True
HP-076,2010,8865.0,0.556,0.916,12965.44,True
HP-077,2008,4118.59,0.446,0.927,10491.22,True
HP-078,2006,2801.89,0.591,0.926,5238.96,True
HP-079,2022,4229.17,0.581,0.912,5832.39,True
HP-080,2019,1920.23,0.55,0.874,2572.11,True
HP-081,2010,4399.27,0.489,0.896,43130.17,True
HP-082,2013,3718.25,0.438,0.884,6724.75,True
HP-083,2005,8275.31,0.481,0.928,21613.43,True
HP-084,2010,1697.85,0.542,0.904,3274.18,True
HP-085,2012,3160.77,0.557,0.9,6515.69,True
HP-086,2009,4494.28,0.504,0.932,9615.61,True
HP-087,2001,7435.04,0.439,0.95,60419.39,True
HP-088,2001,8674.32,0.573,0.899,13281.74,True
HP-089,2021,1407.88,0.404,0.911,6141.3,True
HP-090,2003,6631.78,0.465,0.888,44485.69,True
HP-091,2011,1809.36,0.577,0.869,2676.91,True
HP-092,2017,3279.77,0.557,0.882,12757.33,True
HP-093,2003,6920.5,0.428,0.923,11208.23,True
HP-094,2017,2285.77,0.545,0.898,5491.49,True
HP-095,2001,4770.81,0.47,0.937,9368.33,True
HP-096,2011,9496.25,0.601,0.922,15547.64,True
HP-097,2004,4665.02,0.381,0.929,20661.38,True
HP-098,2011,762.96,0.43,0.879,10386.16,True
HP-099,2023,5015.48,0.387,0.876,10234.18,True
HP-100,2003,601.17,0.501,0.932,1940.11,True
HP-101,2004,379.96,0.461,0.9,544.24,True
HP-102,2022,273.04,0.458,0.918,655.76,True
HP-103,2015,421.82,0.543,0.943,1160.86,True
HP-104,2013,179.54,0.482,0.934,709.35,True
HP-105,2022,319.01,0.574,0.916,2815.24,True
HP-106,2005,351.5,0.472,0.888,643.47,True
HP-107,2001,264.41,0.601,0.885,2516.0,True
HP-108,2004,307.71,0.567,0.871,600.72,True
HP-109,2015,264.01,0.389,0.873,2147.97,True
HP-110,2022,110.56,0.423,0.868,515.97,True
HP-111,2007,308.9,0.405,0.865,486.44,True
HP-112,2014,202.68,0.435,0.897,963.85,True
HP-113,2023,277.13,0.397,0.94,607.91,True
HP-114,2003,283.65,0.45,0.916,662.28,True
HP-115,2015,207.97,0.42,0.943,528.2,True
HP-116,2013,221.46,0.433,0.892,396.85,True
HP-117,2012,167.23,0.533,0.885,499.39,True
HP-118,2023,457.18,0.599,0.892,1734.81,True
HP-119,2004,179.17,0.575,0.88,935.97,True
HP-120,2004,490.06,0.601,0.937,2645.02,True
HP-121,2015,273.54,0.396,0.948,522.25,True
HP-122,2021,427.12,0.591,0.871,4783.44,True
HP-123,2013,462.47,0.587,0.911,620.96,True
HP-124,2010,204.93,0.587,0.912,405.12,True
HP-125,2010,226.62,0.524,0.938,1479.66,True
HP-126,2008,241.94,0.393,0.943,907.02,True
HP-127,2003,416.93,0.504,0.947,1228.3,True
HP-128,2007,400.69,0.48,0.897,641.09,True
HP-129,2020,325.26,0.559,0.943,305.46,True
HP-130,2002,131.62,0.544,0.921,271.07,True
HP-131,2003,345.65,0.444,0.914,345.57,True
HP-132,2014,241.39,0.574,0.891,409.59,True
HP-133,2005,240.11,0.382,0.917,5270.19,True
HP-134,2016,181.59,0.43,0.922,234.48,True
HP-135,2009,245.31,0.486,0.906,498.55,True
HP-136,2014,427.11,0.593,0.923,609.9,True
HP-137,2005,120.13,0.437,0.927,130.33,True
HP-138,2005,193.45,0.607,0.893,884.46,True
HP-139,2003,187.93,0.55,0.911,547.96,True
HP-140,2020,175.49,0.458,0.894,620.37,True
HP-141,2003,298.67,0.419,0.908,1163.22,True
HP-142,2021,153.95,0.433,0.862,339.7,True
HP-143,2022,283.52,0.478,0.871,733.59,True
HP-144,2001,128.34,0.393,0.915,307.2,True
HP-145,2004,281.35,0.382,0.913,559.25,True
HP-146,2016,178.65,0.433,0.884,332.31,True
HP-147,2007,431.82,0.502,0.905,1149.37,True
HP-148,2010,136.96,0.427,0.89,348.88,True
HP-149,2007,366.31,0.567,0.908,957.81,True
HP-150,2022,270.36,0.454,0.934,1385.31,True
HP-151,2010,150.02,0.619,0.867,234.17,True
HP-152,2008,421.02,0.595,0.895,318.87,True
HP-153,2007,152.97,0.61,0.914,416.2,True
HP-154,2010,309.15,0.509,0.942,357.34,True
HP-155,2007,243.89,0.442,0.902,958.74,True
HP-156,2013,341.89,0.539,0.875,2065.89,True
HP-157,2005,341.99,0.478,0.916,367.36,True
HP-158,2011,437.04,0.589,0.906,1097.43,True
HP-159,2023,251.54,0.608,0.92,2567.94,True
HP-160,2019,210.24,0.543,0.873,200.81,True
HP-161,2016,402.69,0.519,0.9,1009.53,True
HP-162,2021,165.19,0.495,0.922,517.15,True
HP-163,2022,425.58,0.547,0.907,1478.22,True
HP-164,2009,179.51,0.467,0.89,576.19,True
HP-165,2006,278.6,0.446,0.898,497.24,True
HP-166,2022,334.79,0.509,0.929,669.85,True
HP-167,2006,184.06,0.428,0.877,459.1,True
HP-168,2001,180.48,0.618,0.913,549.44,True
HP-169,2023,283.5,0.446,0.913,1115.19,True
HP-170,2012,157.48,0.526,0.879,368.78,True
HP-171,2021,258.78,0.406,0.927,355.24,True
HP-172,2021,269.68,0.524,0.931,2370.88,True
HP-173,2001,118.63,0.416,0.92,465.81,True
HP-174,2009,375.87,0.549,0.881,3274.64,True
HP-175,2023,152.03,0.591,0.863,238.85,True
HP-176,2016,125.63,0.496,0.864,188.25,True
HP-177,2003,251.97,0.417,0.917,1770.72,True
HP-178,2016,511.68,0.585,0.88,1329.5,True
HP-179,2021,176.92,0.595,0.899,449.75,True
HP-180,2005,393.31,0.595,0.905,423.09,True
HP-181,2003,177.4,0.434,0.886,3360.31,True
HP-182,2014,344.56,0.399,0.894,438.47,True
HP-183,2006,197.18,0.381,0.907,2029.84,True
HP-184,2007,286.16,0.441,0.897,2006.39,True
HP-185,2010,135.73,0.381,0.902,931.08,True
HP-186,2004,169.88,0.413,0.901,787.57,True
HP-187,2016,319.94,0.545,0.946,1670.22,True
HP-188,2013,217.13,0.499,0.875,290.22,True
HP-189,2006,306.14,0.579,0.887,407.71,True
HP-190,2022,358.78,0.506,0.886,607.11,True
HP-191,2010,151.47,0.485,0.872,2598.04,True
HP-192,2005,286.71,0.452,0.888,455.88,True
HP-193,2004,419.42,0.538,0.9,2687.44,True
HP-194,2021,212.11,0.405,0.939,775.83,True
HP-195,2014,258.92,0.483,0.894,497.45,True
HP-196,2018,212.26,0.557,0.944,247.46,True
HP-197,2023,261.54,0.39,0.891,805.4,True
HP-198,2023,177.94,0.472,0.9,456.1,True
HP-199,2022,335.56,0.454,0.919,403.54,True
HP-200,2020,225.54,0.577,0.897,1368.09,True
HP-201,2019,33.75,0.564,0.893,161.29,True
HP-202,2011,55.07,0.411,0.923,1694.88,True
HP-203,2019,95.79,0.591,0.888,735.57,True
HP-204,2012,100.39,0.503,0.93,1124.64,True
HP-205,2010,29.54,0.523,0.909,215.63,True
HP-206,2002,72.9,0.471,0.93,350.93,True
HP-207,2006,89.76,0.482,0.927,859.62,True
HP-208,2019,27.77,0.444,0.879,164.07,True
HP-209,2005,23.91,0.419,0.924,113.84,True
HP-210,2009,38.32,0.528,0.873,145.16,True
HP-211,2018,111.72,0.599,0.942,317.12,True
HP-212,2020,79.76,0.48,0.92,721.96,True
HP-213,2006,78.84,0.428,0.948,1875.73,True
HP-214,2009,45.25,0.522,0.923,253.96,True
HP-215,2005,57.09,0.475,0.879,418.4,True
HP-216,2017,13.09,0.573,0.861,38.6,True
HP-217,2022,94.92,0.451,0.863,1638.68,True
HP-218,2011,41.42,0.5,0.864,202.61,True
HP-219,2011,39.41,0.386,0.948,310.19,True
HP-220,2021,88.87,0.533,0.916,269.25,True
HP-221,2011,52.48,0.568,0.946,529.15,True
HP-222,2014,17.41,0.454,0.924,92.1,True
HP-223,2017,42.33,0.429,0.92,307.58,True
HP-224,2003,27.64,0.527,0.901,135.37,True
HP-225,2014,106.36,0.537,0.931,972.22,True
HP-226,2007,89.79,0.617,0.913,281.83,True
HP-227,2023,49.32,0.599,0.906,533.14,True
HP-228,2021,93.92,0.552,0.912,1760.44,True
HP-229,2013,10.97,0.471,0.898,49.86,True
HP-230,2005,107.52,0.568,0.89,527.98,True
HP-231,2005,117.97,0.617,0.884,483.34,True
HP-232,2015,62.57,0.551,0.871,689.56,True
HP-233,2022,47.05,0.527,0.946,269.13,True
HP-234,2022,95.43,0.588,0.904,277.5,True
HP-235,2008,83.8,0.552,0.864,397.37,True
HP-236,2009,84.86,0.455,0.905,331.82,True
HP-237,2009,65.91,0.415,0.887,375.67,True
HP-238,2011,44.67,0.488,0.919,442.29,True
HP-239,2005,95.5,0.608,0.895,236.66,True
HP-240,2017,17.45,0.593,0.931,891.82,True
HP-241,2002,25.87,0.386,0.869,892.55,True
HP-242,2022,88.66,0.422,0.895,271.24,True
HP-243,2009,79.04,0.429,0.868,2559.69,True
HP-244,2009,89.27,0.554,0.889,372.2,True
HP-245,2012,74.32,0.48,0.926,502.67,True
HP-246,2002,54.42,0.563,0.908,485.53,True
HP-247,2005,51.36,0.595,0.947,342.4,True
HP-248,2007,77.59,0.547,0.884,469.82,True
HP-249,2005,98.72,0.545,0.879,370.0,True
HP-250,2007,73.99,0.563,0.924,202.65,True
HP-251,2011,36.42,0.579,0.937,111.95,True
HP-252,2022,12.09,0.596,0.947,74.84,True
HP-253,2009,93.92,0.47,0.923,1783.37,True
HP-254,2001,97.05,0.606,0.881,1242.07,True
HP-255,2016,75.17,0.509,0.942,1873.27,True
HP-256,2007,26.48,0.448,0.949,99.18,True
HP-257,2010,35.38,0.484,0.902,395.46,True
HP-258,2010,69.43,0.535,0.901,1409.34,True
HP-259,2018,85.3,0.397,0.946,399.08,True
HP-260,2014,69.36,0.439,0.935,290.5,True
HP-261,2009,29.24,0.548,0.942,472.57,True
HP-262,2005,18.25,0.591,0.872,514.05,True
HP-263,2014,30.12,0.594,0.873,79.89,True
HP-264,2009,18.69,0.52,0.876,101.13,True
HP-265,2016,124.08,0.594,0.911,411.23,True
HP-266,2004,16.55,0.462,0.862,38.98,True
HP-267,2013,61.87,0.399,0.944,454.48,True
HP-268,2020,119.12,0.58,0.912,2329.42,True
HP-269,2006,89.69,0.434,0.9,227.6,True
HP-270,2003,95.08,0.516,0.866,669.3,True
HP-271,2001,32.81,0.58,0.913,264.66,True
HP-272,2014,46.28,0.42,0.874,350.14,True
HP-273,2011,71.43,0.461,0.875,1612.15,True
HP-274,2011,17.86,0.458,0.872,164.17,True
HP-275,2021,96.06,0.478,0.916,370.2,True
HP-276,2008,9.44,0.511,0.878,552.85,True
HP-277,2008,57.92,0.401,0.866,183.28,True
HP-278,2018,68.97,0.409,0.933,478.61,True
HP-279,2011,41.1,0.513,0.887,103.39,True
HP-280,2021,70.65,0.522,0.942,291.65,True
HP-281,2005,34.79,0.539,0.904,253.09,True
HP-282,2016,62.65,0.574,0.928,422.39,True
HP-283,2004,28.93,0.431,0.893,143.78,True
HP-284,2007,52.45,0.412,0.871,212.08,True
HP-285,2009,14.53,0.451,0.93,107.58,True
HP-286,2011,25.17,0.387,0.92,195.34,True
HP-287,2006,33.08,0.416,0.894,223.61,True
HP-288,2020,66.11,0.476,0.882,258.61,True
HP-289,2010,30.37,0.385,0.88,235.09,True
HP-290,2013,33.81,0.563,0.905,345.04,True
HP-291,2009,68.38,0.562,0.897,597.94,True
HP-292,2014,66.42,0.462,0.865,1259.72,True
HP-293,2008,46.14,0.53,0.933,325.54,True
HP-294,2006,66.41,0.505,0.88,1023.22,True
HP-295,2014,71.89,0.566,0.936,712.05,True
HP-296,2002,13.44,0.394,0.945,123.81,True
HP-297,2007,48.34,0.499,0.912,218.99,True
HP-298,2013,106.21,0.485,0.928,700.73,True
HP-299,2016,81.64,0.397,0.919,279.77,True
HP-300,2020,95.06,0.509,0.947,420.64,True
HP-301,2021,3.58,0.585,0.884,15.36,True
HP-302,2013,4.96,0.501,0.91,56.49,True
HP-303,2004,3.45,0.583,0.907,16.34,True
HP-304,2023,3.62,0.502,0.931,16.32,True
HP-305,2003,2.8,0.495,0.907,21.25,True
HP-306,2005,5.54,0.394,0.926,227.43,True
HP-307,2018,4.84,0.545,0.878,27.17,True
HP-308,2021,5.48,0.385,0.89,55.09,True
HP-309,2017,3.29,0.513,0.915,15.65,True
HP-310,2010,5.64,0.402,0.878,14.18,True
HP-311,2006,6.88,0.604,0.878,12.46,True
HP-312,2021,1.32,0.517,0.891,15.7,True
