project_id,material,quantity,unit,work_category,quantity_per_mw,data_type,synthetic_flag
HP-001,Concrete,1596705.4,m3,Civil,2824.18,synthetic,True
HP-001,Cement,558846.9,MT,Civil,988.46,synthetic,True
HP-001,Reinforcement Steel,20986.2,MT,Civil,37.12,synthetic,True
HP-001,Structural Steel,4590.2,MT,Civil,8.12,synthetic,True
HP-001,Penstock Steel,8109.8,MT,Hydromechanical,14.34,synthetic,True
HP-001,Aggregate,1357199.6,m3,Civil,2400.55,synthetic,True
HP-001,Sand,718517.4,m3,Civil,1270.88,synthetic,True
HP-001,Excavation,11490462.1,m3,Civil,20323.79,synthetic,True
HP-001,Rock Excavation,5170707.9,m3,Civil,9145.71,synthetic,True
HP-001,Earth Excavation,6319754.2,m3,Civil,11178.09,synthetic,True
HP-001,Grouting Cement,44707.8,MT,Civil,79.08,synthetic,True
HP-001,Shotcrete,191604.6,m3,Civil,338.9,synthetic,True
HP-001,Lining Concrete,399176.3,m3,Civil,706.04,synthetic,True
HP-001,Gates Steel,1049.3,MT,Hydromechanical,1.86,synthetic,True
HP-001,Embedded Steel,688.5,MT,Civil,1.22,synthetic,True
HP-002,Concrete,1422004.8,m3,Civil,991.99,synthetic,True
HP-002,Cement,497701.7,MT,Civil,347.2,synthetic,True
HP-002,Reinforcement Steel,32865.5,MT,Civil,22.93,synthetic,True
HP-002,Structural Steel,7868.4,MT,Civil,5.49,synthetic,True
HP-002,Penstock Steel,14800.7,MT,Hydromechanical,10.32,synthetic,True
HP-002,Aggregate,1208704.1,m3,Civil,843.19,synthetic,True
HP-002,Sand,639902.2,m3,Civil,446.39,synthetic,True
HP-002,Excavation,16277616.1,m3,Civil,11355.24,synthetic,True
HP-002,Rock Excavation,7324927.2,m3,Civil,5109.86,synthetic,True
HP-002,Earth Excavation,8952688.9,m3,Civil,6245.38,synthetic,True
HP-002,Grouting Cement,39816.1,MT,Civil,27.78,synthetic,True
HP-002,Shotcrete,170640.6,m3,Civil,119.04,synthetic,True
HP-002,Lining Concrete,355501.2,m3,Civil,248.0,synthetic,True
HP-002,Gates Steel,1643.3,MT,Hydromechanical,1.15,synthetic,True
HP-002,Embedded Steel,1180.3,MT,Civil,0.82,synthetic,True
HP-003,Concrete,1450912.3,m3,Civil,1943.88,synthetic,True
HP-003,Cement,507819.3,MT,Civil,680.36,synthetic,True
HP-003,Reinforcement Steel,25302.9,MT,Civil,33.9,synthetic,True
HP-003,Structural Steel,7082.4,MT,Civil,9.49,synthetic,True
HP-003,Penstock Steel,11712.1,MT,Hydromechanical,15.69,synthetic,True
HP-003,Aggregate,1233275.5,m3,Civil,1652.3,synthetic,True
HP-003,Sand,652910.5,m3,Civil,874.75,synthetic,True
HP-003,Excavation,12994422.3,m3,Civil,17409.46,synthetic,True
HP-003,Rock Excavation,5847490.0,m3,Civil,7834.26,synthetic,True
HP-003,Earth Excavation,7146932.3,m3,Civil,9575.2,synthetic,True
HP-003,Grouting Cement,40625.5,MT,Civil,54.43,synthetic,True
HP-003,Shotcrete,174109.5,m3,Civil,233.27,synthetic,True
HP-003,Lining Concrete,362728.1,m3,Civil,485.97,synthetic,True
HP-003,Gates Steel,1265.1,MT,Hydromechanical,1.69,synthetic,True
HP-003,Embedded Steel,1062.4,MT,Civil,1.42,synthetic,True
HP-004,Concrete,1707923.3,m3,Civil,1481.93,synthetic,True
HP-004,Cement,597773.2,MT,Civil,518.68,synthetic,True
HP-004,Reinforcement Steel,29902.1,MT,Civil,25.95,synthetic,True
HP-004,Structural Steel,9571.3,MT,Civil,8.3,synthetic,True
HP-004,Penstock Steel,8888.8,MT,Hydromechanical,7.71,synthetic,True
HP-004,Aggregate,1451734.8,m3,Civil,1259.64,synthetic,True
HP-004,Sand,768565.5,m3,Civil,666.87,synthetic,True
HP-004,Excavation,17062185.4,m3,Civil,14804.5,synthetic,True
HP-004,Rock Excavation,12796639.0,m3,Civil,11103.37,synthetic,True
HP-004,Earth Excavation,4265546.4,m3,Civil,3701.12,synthetic,True
HP-004,Grouting Cement,47821.9,MT,Civil,41.49,synthetic,True
HP-004,Shotcrete,204950.8,m3,Civil,177.83,synthetic,True
HP-004,Lining Concrete,426980.8,m3,Civil,370.48,synthetic,True
HP-004,Gates Steel,1495.1,MT,Hydromechanical,1.3,synthetic,True
HP-004,Embedded Steel,1435.7,MT,Civil,1.25,synthetic,True
HP-005,Concrete,1223524.3,m3,Civil,1205.88,synthetic,True
HP-005,Cement,428233.5,MT,Civil,422.06,synthetic,True
HP-005,Reinforcement Steel,26618.4,MT,Civil,26.23,synthetic,True
HP-005,Structural Steel,9083.2,MT,Civil,8.95,synthetic,True
HP-005,Penstock Steel,13146.5,MT,Hydromechanical,12.96,synthetic,True
HP-005,Aggregate,1039995.7,m3,Civil,1025.0,synthetic,True
HP-005,Sand,550585.9,m3,Civil,542.65,synthetic,True
HP-005,Excavation,12597813.4,m3,Civil,12416.16,synthetic,True
HP-005,Rock Excavation,9448360.1,m3,Civil,9312.12,synthetic,True
HP-005,Earth Excavation,3149453.3,m3,Civil,3104.04,synthetic,True
HP-005,Grouting Cement,34258.7,MT,Civil,33.76,synthetic,True
HP-005,Shotcrete,146822.9,m3,Civil,144.71,synthetic,True
HP-005,Lining Concrete,305881.1,m3,Civil,301.47,synthetic,True
HP-005,Gates Steel,1330.9,MT,Hydromechanical,1.31,synthetic,True
HP-005,Embedded Steel,1362.5,MT,Civil,1.34,synthetic,True
HP-006,Concrete,1444622.0,m3,Civil,1288.06,synthetic,True
HP-006,Cement,505617.7,MT,Civil,450.82,synthetic,True
HP-006,Reinforcement Steel,30286.0,MT,Civil,27.0,synthetic,True
HP-006,Structural Steel,9901.0,MT,Civil,8.83,synthetic,True
HP-006,Penstock Steel,11775.4,MT,Hydromechanical,10.5,synthetic,True
HP-006,Aggregate,1227928.7,m3,Civil,1094.85,synthetic,True
HP-006,Sand,650079.9,m3,Civil,579.63,synthetic,True
HP-006,Excavation,15224375.3,m3,Civil,13574.41,synthetic,True
HP-006,Rock Excavation,6850968.9,m3,Civil,6108.48,synthetic,True
HP-006,Earth Excavation,8373406.4,m3,Civil,7465.92,synthetic,True
HP-006,Grouting Cement,40449.4,MT,Civil,36.07,synthetic,True
HP-006,Shotcrete,173354.6,m3,Civil,154.57,synthetic,True
HP-006,Lining Concrete,361155.5,m3,Civil,322.01,synthetic,True
HP-006,Gates Steel,1514.3,MT,Hydromechanical,1.35,synthetic,True
HP-006,Embedded Steel,1485.1,MT,Civil,1.32,synthetic,True
HP-007,Concrete,1652956.9,m3,Civil,2410.4,synthetic,True
HP-007,Cement,578534.9,MT,Civil,843.64,synthetic,True
HP-007,Reinforcement Steel,24227.7,MT,Civil,35.33,synthetic,True
HP-007,Structural Steel,6116.3,MT,Civil,8.92,synthetic,True
HP-007,Penstock Steel,15891.4,MT,Hydromechanical,23.17,synthetic,True
HP-007,Aggregate,1405013.4,m3,Civil,2048.84,synthetic,True
HP-007,Sand,743830.6,m3,Civil,1084.68,synthetic,True
HP-007,Excavation,13980398.2,m3,Civil,20386.72,synthetic,True
HP-007,Rock Excavation,6291179.2,m3,Civil,9174.02,synthetic,True
HP-007,Earth Excavation,7689219.0,m3,Civil,11212.7,synthetic,True
HP-007,Grouting Cement,46282.8,MT,Civil,67.49,synthetic,True
HP-007,Shotcrete,198354.8,m3,Civil,289.25,synthetic,True
HP-007,Lining Concrete,413239.2,m3,Civil,602.6,synthetic,True
HP-007,Gates Steel,1211.4,MT,Hydromechanical,1.77,synthetic,True
HP-007,Embedded Steel,917.4,MT,Civil,1.34,synthetic,True
HP-008,Concrete,1450852.3,m3,Civil,1567.25,synthetic,True
HP-008,Cement,507798.3,MT,Civil,548.54,synthetic,True
HP-008,Reinforcement Steel,24589.6,MT,Civil,26.56,synthetic,True
HP-008,Structural Steel,7370.5,MT,Civil,7.96,synthetic,True
HP-008,Penstock Steel,10593.0,MT,Hydromechanical,11.44,synthetic,True
HP-008,Aggregate,1233224.5,m3,Civil,1332.16,synthetic,True
HP-008,Sand,652883.5,m3,Civil,705.26,synthetic,True
HP-008,Excavation,13701373.9,m3,Civil,14800.62,synthetic,True
HP-008,Rock Excavation,6165618.3,m3,Civil,6660.28,synthetic,True
HP-008,Earth Excavation,7535755.6,m3,Civil,8140.34,synthetic,True
HP-008,Grouting Cement,40623.9,MT,Civil,43.88,synthetic,True
HP-008,Shotcrete,174102.3,m3,Civil,188.07,synthetic,True
HP-008,Lining Concrete,362713.1,m3,Civil,391.81,synthetic,True
HP-008,Gates Steel,1229.5,MT,Hydromechanical,1.33,synthetic,True
HP-008,Embedded Steel,1105.6,MT,Civil,1.19,synthetic,True
HP-009,Concrete,1630858.2,m3,Civil,1197.96,synthetic,True
HP-009,Cement,570800.4,MT,Civil,419.29,synthetic,True
HP-009,Reinforcement Steel,33707.4,MT,Civil,24.76,synthetic,True
HP-009,Structural Steel,7355.1,MT,Civil,5.4,synthetic,True
HP-009,Penstock Steel,17261.6,MT,Hydromechanical,12.68,synthetic,True
HP-009,Aggregate,1386229.5,m3,Civil,1018.27,synthetic,True
HP-009,Sand,733886.2,m3,Civil,539.08,synthetic,True
HP-009,Excavation,17755434.9,m3,Civil,13042.42,synthetic,True
HP-009,Rock Excavation,7989945.7,m3,Civil,5869.09,synthetic,True
HP-009,Earth Excavation,9765489.2,m3,Civil,7173.33,synthetic,True
HP-009,Grouting Cement,45664.0,MT,Civil,33.54,synthetic,True
HP-009,Shotcrete,195703.0,m3,Civil,143.76,synthetic,True
HP-009,Lining Concrete,407714.5,m3,Civil,299.49,synthetic,True
HP-009,Gates Steel,1685.4,MT,Hydromechanical,1.24,synthetic,True
HP-009,Embedded Steel,1103.3,MT,Civil,0.81,synthetic,True
HP-010,Concrete,1694846.8,m3,Civil,1811.1,synthetic,True
HP-010,Cement,593196.4,MT,Civil,633.89,synthetic,True
HP-010,Reinforcement Steel,27027.1,MT,Civil,28.88,synthetic,True
HP-010,Structural Steel,7619.5,MT,Civil,8.14,synthetic,True
HP-010,Penstock Steel,14992.9,MT,Hydromechanical,16.02,synthetic,True
HP-010,Aggregate,1440619.8,m3,Civil,1539.44,synthetic,True
HP-010,Sand,762681.1,m3,Civil,815.0,synthetic,True
HP-010,Excavation,15823429.7,m3,Civil,16908.81,synthetic,True
HP-010,Rock Excavation,7120543.4,m3,Civil,7608.96,synthetic,True
HP-010,Earth Excavation,8702886.3,m3,Civil,9299.84,synthetic,True
HP-010,Grouting Cement,47455.7,MT,Civil,50.71,synthetic,True
HP-010,Shotcrete,203381.6,m3,Civil,217.33,synthetic,True
HP-010,Lining Concrete,423711.7,m3,Civil,452.78,synthetic,True
HP-010,Gates Steel,1351.4,MT,Hydromechanical,1.44,synthetic,True
HP-010,Embedded Steel,1142.9,MT,Civil,1.22,synthetic,True
HP-011,Concrete,1116899.4,m3,Civil,1879.13,synthetic,True
HP-011,Cement,390914.8,MT,Civil,657.7,synthetic,True
HP-011,Reinforcement Steel,22256.2,MT,Civil,37.45,synthetic,True
HP-011,Structural Steel,7047.8,MT,Civil,11.86,synthetic,True
HP-011,Penstock Steel,7468.7,MT,Hydromechanical,12.57,synthetic,True
HP-011,Aggregate,949364.5,m3,Civil,1597.26,synthetic,True
HP-011,Sand,502604.7,m3,Civil,845.61,synthetic,True
HP-011,Excavation,9647763.8,m3,Civil,16231.92,synthetic,True
HP-011,Rock Excavation,7235822.9,m3,Civil,12173.94,synthetic,True
HP-011,Earth Excavation,2411940.9,m3,Civil,4057.98,synthetic,True
HP-011,Grouting Cement,31273.2,MT,Civil,52.62,synthetic,True
HP-011,Shotcrete,134027.9,m3,Civil,225.5,synthetic,True
HP-011,Lining Concrete,279224.8,m3,Civil,469.78,synthetic,True
HP-011,Gates Steel,1112.8,MT,Hydromechanical,1.87,synthetic,True
HP-011,Embedded Steel,1057.2,MT,Civil,1.78,synthetic,True
HP-012,Concrete,1595475.4,m3,Civil,1745.63,synthetic,True
HP-012,Cement,558416.4,MT,Civil,610.97,synthetic,True
HP-012,Reinforcement Steel,25686.8,MT,Civil,28.1,synthetic,True
HP-012,Structural Steel,6389.6,MT,Civil,6.99,synthetic,True
HP-012,Penstock Steel,8726.0,MT,Hydromechanical,9.55,synthetic,True
HP-012,Aggregate,1356154.1,m3,Civil,1483.79,synthetic,True
HP-012,Sand,717963.9,m3,Civil,785.54,synthetic,True
HP-012,Excavation,14747549.1,m3,Civil,16135.53,synthetic,True
HP-012,Rock Excavation,11060661.8,m3,Civil,12101.65,synthetic,True
HP-012,Earth Excavation,3686887.3,m3,Civil,4033.88,synthetic,True
HP-012,Grouting Cement,44673.3,MT,Civil,48.88,synthetic,True
HP-012,Shotcrete,191457.0,m3,Civil,209.48,synthetic,True
HP-012,Lining Concrete,398868.8,m3,Civil,436.41,synthetic,True
HP-012,Gates Steel,1284.3,MT,Hydromechanical,1.41,synthetic,True
HP-012,Embedded Steel,958.4,MT,Civil,1.05,synthetic,True
HP-013,Concrete,1258484.2,m3,Civil,1845.66,synthetic,True
HP-013,Cement,440469.5,MT,Civil,645.98,synthetic,True
HP-013,Reinforcement Steel,21302.4,MT,Civil,31.24,synthetic,True
HP-013,Structural Steel,4405.9,MT,Civil,6.46,synthetic,True
HP-013,Penstock Steel,13863.4,MT,Hydromechanical,20.33,synthetic,True
HP-013,Aggregate,1069711.6,m3,Civil,1568.81,synthetic,True
HP-013,Sand,566317.9,m3,Civil,830.55,synthetic,True
