project_id,project_name,project_category,project_type,state,district,river,river_basin,terrain_type,development_type,climate_zone,elevation_m,capacity_mw,number_of_units,unit_capacity_mw,commissioning_year,project_life_years,gross_head_m,net_head_m,design_flow_m3s,minimum_flow_m3s,maximum_flow_m3s,annual_inflow_mcm,catchment_area_km2,reservoir_volume_mcm,dam_type,dam_height_m,dam_length_m,reservoir_area_km2,tunnel_length_km,tunnel_diameter_m,penstock_length_m,penstock_diameter_m,powerhouse_type,powerhouse_area_m2,excavation_volume_m3,turbine_type,turbine_efficiency,generator_efficiency,design_efficiency,number_of_turbines,number_of_generators,transformer_count,transformer_capacity_mva,crane_capacity_t,penstock_sections,project_complexity_score,terrain_complexity_score,civil_complexity_score,hydro_complexity_score,annual_generation_gwh,capacity_factor,plant_load_factor,availability_factor,annual_operating_hours,construction_duration_months,civil_construction_months,dam_construction_months,tunnel_construction_months,powerhouse_construction_months,electromechanical_installation_months,concrete_m3_per_mw,cement_mt_per_mw,reinforcement_steel_mt_per_mw,structural_steel_mt_per_mw,penstock_steel_mt_per_mw,excavation_m3_per_mw,synthetic_generation_version,generation_seed,source_type
HP-001,Srisailam Hydro Project Unit-1,Large Hydro,storage,Himachal Pradesh,Kullu,Sutlej,Indus Basin,Hilly,Greenfield,Himalayan Sub-tropical,2197.8,565.37,8,70.6713,2002,50,255.2,247.2,261.138,26.807,328.943,7328.8,8401.7,566.7,Rockfill,193.8,488.9,96.83,15.96,6.38,313.3,7.29,Surface,5100.8,11490462.1,Francis,0.925,0.961,0.889,8,8,9,91.46,251.9,4,2.1,2.6,2.2,1.4,2961.77,0.601,60.1,0.867,7594.9,111.0,70.9,42.9,36.5,28.5,29.5,2824.18,988.46,37.12,8.12,14.34,20323.79,v1.0,42,synthetic
HP-002,Srisailam Hydro Project Unit-2,Large Hydro,pumped,Sikkim,South Sikkim,Siang,Brahmaputra Basin,Hilly,Greenfield,Himalayan Sub-tropical,1988.3,1433.49,4,358.3725,2017,50,164.9,156.1,1075.629,181.584,1361.622,23560.52,11640.5,1.3,Barrage/Weir,29.2,146.2,0.13,3.32,10.39,745.5,6.09,Underground,20863.6,16277616.1,Francis,0.926,0.977,0.905,4,4,5,463.78,163.4,4,2.4,3.0,2.2,2.1,6514.06,0.52,52.0,0.941,8243.2,72.2,46.9,28.9,22.6,18.4,15.2,991.99,347.2,22.93,5.49,10.32,11355.24,v1.0,42,synthetic
HP-003,Kargil Hydro Project Unit-3,Large Hydro,run-of-river,Goa,North Goa,Periyar,West Flowing Rivers,Gorge,Greenfield,Himalayan Sub-tropical,1506.5,746.4,8,93.3,2008,50,428.6,404.9,213.857,39.385,289.199,4176.99,5921.8,2.8,Concrete Gravity,32.6,195.4,0.28,11.77,4.78,531.1,7.43,Surface,7758.5,12994422.3,Pelton,0.92,0.967,0.89,8,8,9,120.74,140.9,4,3.3,1.8,3.9,4.1,2709.52,0.41,41.0,0.919,8050.4,77.6,46.8,31.9,34.5,26.6,21.4,1943.88,680.36,33.9,9.49,15.69,17409.46,v1.0,42,synthetic
HP-004,Chhatru Hydro Project Unit-4,Large Hydro,pumped,Odisha,Koraput,Pranahita,Godavari Basin,Mountainous,Greenfield,Tropical,320.1,1152.5,8,144.0625,2001,35,74.4,72.1,1812.626,231.74,2439.114,47076.02,10988.6,13.3,Concrete Gravity,19.2,132.9,1.33,18.15,5.33,251.8,4.66,Surface,13958.0,17062185.4,Francis,0.945,0.952,0.9,8,8,9,186.43,,4,2.9,3.7,3.6,1.5,4102.51,0.406,40.6,0.877,7682.5,80.6,45.8,31.9,34.8,20.8,22.6,1481.93,518.68,25.95,8.3,7.71,14804.5,v1.0,42,synthetic
HP-005,Sanjay Hydro Project Unit-5,Large Hydro,run-of-river,Arunachal Pradesh,Tawang,Siang,Brahmaputra Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1274.8,1014.63,6,169.105,2008,40,185.5,173.5,658.077,109.364,885.773,12741.14,3656.7,1.3,Concrete Gravity,21.3,143.6,,3.14,8.09,678.0,6.76,Underground,8694.2,12597813.4,Francis,0.93,0.976,0.908,6,6,7,218.84,281.4,4,2.5,1.7,1.5,4.2,4544.42,0.517,51.7,0.912,7989.1,67.1,41.3,27.3,23.3,18.5,17.9,1205.88,422.06,26.23,8.95,12.96,12416.16,v1.0,42,synthetic
HP-006,Pakal Dul Hydro Project Unit-6,Large Hydro,pumped,Uttar Pradesh,Sonbhadra,Teesta,Ganga Basin,Gorge,Greenfield,Alpine,2993.1,1121.55,4,280.3875,2007,40,185.3,175.7,703.161,139.497,1014.05,18124.96,10184.0,8.5,Concrete Gravity,8.1,59.9,0.85,7.29,10.23,929.5,3.28,Surface,15755.9,15224375.3,Francis,0.939,0.956,0.898,4,4,5,362.85,252.0,4,2.9,3.6,2.2,3.0,3928.39,0.402,40.2,0.898,7866.5,66.7,41.8,27.6,22.6,21.6,17.0,1288.06,450.82,27.0,8.83,10.5,13574.41,v1.0,42,synthetic
HP-007,Kishanganga Hydro Project Unit-7,Large Hydro,storage,Telangana,Nalgonda,Wainganga,Godavari Basin,Gorge,Greenfield,Alpine,2214.4,685.76,8,85.72,2003,40,437.9,405.4,192.273,22.199,284.365,6177.29,14655.0,2030.7,Earthfill,44.7,227.0,202.72,20.62,9.62,1057.3,6.55,Surface,6577.8,13980398.2,Pelton,0.938,0.961,0.901,8,8,9,110.93,85.8,4,2.2,1.6,2.9,2.0,3443.14,0.577,57.7,0.938,8216.9,100.8,59.5,38.1,31.3,33.0,23.7,2410.4,843.64,35.33,8.92,23.17,20386.72,v1.0,42,synthetic
HP-008,Malana Hydro Project Unit-8,Large Hydro,pumped,Andhra Pradesh,Kurnool,Godavari,Godavari Basin,Gorge,Greenfield,Himalayan Sub-tropical,1979.2,925.73,8,115.7163,2003,40,498.7,479.0,222.196,33.772,320.396,6391.34,14133.8,11.2,Barrage/Weir,15.9,53.3,1.12,15.28,6.31,479.6,6.74,Semi-underground,15737.8,13701373.9,Pelton,0.93,0.97,0.902,8,8,9,149.75,288.4,4,3.2,2.6,3.8,3.2,3789.64,0.471,47.1,0.927,8120.5,90.9,53.7,39.4,31.4,24.6,25.3,1567.25,548.54,26.56,7.96,11.44,14800.62,v1.0,42,synthetic
HP-009,Ghanvi Hydro Project Unit-9,Large Hydro,pumped,Meghalaya,Ri-Bhoi,Subansiri,Brahmaputra Basin,Gorge,Greenfield,Alpine,2637.1,1361.36,4,340.34,2021,40,154.6,148.4,1041.928,153.699,1515.923,17864.93,6509.4,9.6,Barrage/Weir,26.6,130.9,0.96,9.99,5.03,872.0,6.96,Underground,21488.0,17755434.9,Francis,0.919,0.974,0.895,4,4,5,440.44,228.0,4,3.3,3.8,2.9,3.2,4916.98,0.412,41.2,0.902,7901.5,87.4,50.8,37.2,32.0,29.0,25.3,1197.96,419.29,24.76,5.4,12.68,13042.42,v1.0,42,synthetic
HP-010,Srisailam Hydro Project Unit-10,Large Hydro,pumped,Andhra Pradesh,Kurnool,Wainganga,Godavari Basin,Gorge,Greenfield,Himalayan Sub-tropical,942.3,935.81,6,155.9683,2017,35,110.6,106.0,990.566,105.419,1309.805,25789.46,6528.7,3.5,Trench Intake,16.7,114.4,0.35,20.92,4.14,1074.7,5.38,Surface,7541.7,15823429.7,Francis,0.924,0.973,0.899,6,6,7,201.84,17.9,4,3.9,4.3,4.7,2.7,4274.81,0.525,52.5,0.88,7708.8,91.5,50.6,35.1,36.8,26.6,19.8,1811.1,633.89,28.88,8.14,16.02,16908.81,v1.0,42,synthetic
